,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
13,CHAS=1.0,0.0,,,,,,,
1,ZN,1.2773673828970936e-05,11.561904504492452,-0.0007009856460224148,0.0003504928230111986,0.0007009856460224148,0.0003504928230111986,0.0,0.0
12,CHAS=0.0,0.0001468447042606177,,,,,,,
2,INDUS,0.0006893133021656892,3.443039676613363,0.08228399130762455,-0.01982238473534144,0.0825344511342044,0.020269612041924834,0.0,0.0
7,RAD,0.0025196854813248257,4.289541828805091,-0.6427302113370614,0.061492815785305514,0.6691726684868355,0.06868026196963155,0.3092949125228657,0.0
5,AGE,0.004711528638837957,13.980126746690955,0.06863896539640063,-0.060965997733109935,0.15734457833427376,0.1296302625619006,0.043937450460243,0.0
10,B,0.006511191230496069,45.72656881574895,-0.10936148995844204,0.03332628036130999,0.23216065101641561,0.08924566203026273,0.16633230023207624,0.0
3,NOX,0.013045520441690718,0.05877935520360989,0.1173002193354137,-0.04054355213607189,0.25188181846110835,0.22992846110668033,0.0,0.0
8,TAX,0.017359841509772767,82.98343425017102,0.9932954397133986,-0.2879681768603047,1.0244932237784927,0.30457068473873183,0.0866191338374751,0.12492848874296314
0,CRIM,0.020310356097260313,4.432033718258579,-0.11652281018745864,-0.08621965123855241,0.36992576535961674,0.27093280123022795,0.2939445103661207,0.24007814018806783
9,PTRATIO,0.024091002885040843,1.1129704632793018,0.541249153955925,-0.3196459536846158,0.5714267002424053,0.3310472591035554,0.28732643736266716,0.16152383248994084
6,DIS,0.08627069100391377,1.0642935686250505,2.914743434549945,-0.1441755148623615,3.0701388482231082,0.6156594733089893,0.6479545001378106,0.20494752390772675
11,LSTAT,0.32332609581402505,3.5507877966079993,2.0425569967603274,-1.8040004213427538,2.045606458741449,1.8173755467586208,1.8571643173269798,1.5568927431605708
4,RM,0.5010051552173823,0.3542865889835718,-1.038811623838337,1.6422817633392433,1.0667615400163628,1.7299386151107907,0.4032133275627743,0.8178861921577685
